frame,ball_id,x_coord,y_coord,in_roi,detection_method
2,1,1498,386,True,predict_ball_output
3,1,1493,396,True,predict_ball_output
4,1,1566,172,True,predict_ball_output
5,1,1564,202,True,predict_ball_output
6,1,1566,256,True,predict_ball_output
9,1,1538,393,True,predict_ball_output
18,1,1528,443,True,predict_ball_output
20,1,1542,450,True,predict_ball_output
22,1,1538,453,True,predict_ball_output
26,1,1524,460,True,predict_ball_output
27,1,1521,457,True,predict_ball_output
33,1,1510,437,True,predict_ball_output
34,1,1510,433,True,predict_ball_output
36,1,1503,430,True,predict_ball_output
37,1,1503,427,True,predict_ball_output
40,1,1498,407,True,predict_ball_output
41,1,1495,407,True,predict_ball_output
43,1,1491,403,True,predict_ball_output
45,1,1493,396,True,predict_ball_output
47,1,1488,400,True,predict_ball_output
60,1,1505,393,True,predict_ball_output
62,1,1505,393,True,predict_ball_output
74,1,1481,447,True,predict_ball_output
75,1,1479,447,True,predict_ball_output
75,2,1528,413,True,predict_ball_output
78,1,1488,447,True,predict_ball_output
81,1,1505,463,True,predict_ball_output
82,1,1512,443,True,predict_ball_output
84,1,1528,427,True,predict_ball_output
88,1,1547,383,True,predict_ball_output
102,1,1545,363,True,predict_ball_output
114,1,1505,410,True,predict_ball_output
116,1,1503,423,True,predict_ball_output
