frame_id,timestamp,raw_swing_type,event_id,phase,motion_energy,wrist_speed,wrist_accel,racket_speed,racket_accel,ball_speed,ball_racket_distance,contact_score,two_hand_distance,active_wrist_x_offset,arm_extension_deg,shoulder_turn_deg,hip_shoulder_sep_deg
0,0.0,Forehand,,ready,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,125.004,-72.0,111.2962,88.3,1.1003
1,0.04,Forehand,,ready,4.6987,2.2361,2.2361,6.265,6.265,0.0,,0.0,122.0656,-72.0,113.6787,88.7,0.6665
2,0.08,Forehand,,ready,4.0562,2.0,-0.2361,5.4083,-0.8567,0.0,,0.0,121.2642,-74.5,116.1815,89.6,0.4244
3,0.119,Forehand,,ready,4.0562,2.0,0.0,2.9155,-2.4929,0.0,,0.0,121.499,-76.5,118.323,90.0,0.6161
4,0.159,Forehand,,ready,4.0562,2.2361,0.2361,6.0828,3.1673,0.0,,0.0,122.8007,-80.0,120.4443,91.7,0.4778
5,0.199,Forehand,,ready,4.1231,4.1231,1.887,1.118,-4.9647,0.0,,0.0,122.3315,-83.0,123.0015,94.3,2.4399
6,0.239,Forehand,,ready,4.5621,5.0,0.8769,0.0,-1.118,0.0,,0.0,126.2894,-87.0,126.2305,96.5,2.7917
7,0.278,Forehand,,ready,5.0,8.2462,3.2462,0.0,0.0,0.0,,0.0,128.8914,-92.0,128.2849,98.4,4.0445
8,0.318,Forehand,,ready,8.2462,10.7703,2.5241,0.0,0.0,0.0,,0.0,131.0267,-97.0,129.7665,101.0,5.7596
9,0.358,Forehand,,ready,10.7703,14.5602,3.7899,0.0,0.0,0.0,,0.0,133.9291,-101.0,131.5318,103.4,7.397
10,0.398,Forehand,,ready,14.5602,15.8114,1.2512,0.0,0.0,0.0,,0.0,132.5179,-104.5,137.2593,105.1,7.5907
11,0.438,Forehand,,ready,15.8114,16.2788,0.4674,0.0,0.0,0.0,,0.0,123.065,-107.5,142.0306,107.1,8.6758
12,0.477,Forehand,,ready,16.2788,16.4924,0.2136,0.0,0.0,0.0,,0.0,109.2749,-111.5,147.3837,109.8,8.6523
13,0.517,Forehand,,ready,16.2788,12.3693,-4.1231,0.0,0.0,0.0,,0.0,96.2549,-114.0,150.4798,111.6,8.9152
14,0.557,Forehand,,ready,16.4924,18.1108,5.7415,0.0,0.0,0.0,,0.0,75.0733,-116.5,159.9812,111.5,7.4652
15,0.597,Forehand,,ready,18.1108,20.2237,2.113,0.0,0.0,0.0,,0.0,61.5873,-115.0,156.4677,111.1,6.0236
16,0.636,Forehand,,ready,18.1108,16.6433,-3.5804,0.0,0.0,0.0,,0.0,58.5918,-123.0,147.7779,109.3,3.2165
17,0.676,Forehand,,ready,16.6433,15.8114,-0.8319,0.0,0.0,0.0,,0.0,62.1691,-130.0,154.44,110.7,2.9622
18,0.716,Forehand,,ready,15.8114,11.4018,-4.4096,0.0,0.0,0.0,,0.0,62.6498,-133.0,154.9978,111.4,3.3643
19,0.756,Forehand,,ready,15.6605,8.0623,-3.3395,20.8806,20.8806,0.0,,0.0,63.8905,-127.5,152.981,113.1,4.2266
20,0.796,Forehand,,ready,15.6605,19.2354,11.1731,11.1803,-9.7003,0.0,1203.8624,0.0,78.9177,-119.5,144.8163,114.7,4.93
21,0.835,Forehand,,ready,19.2354,21.6333,2.3979,6.1033,-5.0771,84.8536,1124.7116,0.0,65.6201,-96.5,121.4358,119.1,7.2532
22,0.875,Forehand,,ready,19.2354,18.4391,-3.1942,16.568,10.4648,67.475,1062.1328,0.0,57.6975,-78.5,90.4531,117.6,4.6573
23,0.915,Forehand,,ready,18.4391,10.0499,-8.3892,5.5902,-10.9779,51.1067,1010.6052,0.0,52.4309,-67.0,73.6923,112.2,0.1311
24,0.955,Forehand,,ready,10.3448,0.0,-10.0499,13.7931,8.2029,38.3675,962.0976,0.0,31.1448,-67.0,73.6923,112.2,4.316
25,0.994,Forehand,1,follow_through,10.3448,0.0,0.0,16.0,2.2069,30.4103,918.8628,0.0,48.2701,-67.0,73.6923,112.2,6.8056
26,1.034,Forehand,1,follow_through,12.0,23.6008,23.6008,4.7434,-11.2566,18.3463,901.2326,0.0,24.0832,-64.5,84.4171,120.5,3.1157
27,1.074,Forehand,1,follow_through,12.0,9.434,-14.1669,2.9155,-1.8279,12.3201,888.5745,0.0,19.4165,-56.5,83.8416,122.3,9.8955
28,1.114,Forehand,1,follow_through,16.1555,16.1555,6.7215,4.4721,1.5567,4.3094,882.9681,0.0,18.6815,-41.0,89.5885,112.2,4.2449
29,1.154,Forehand,1,follow_through,16.1555,40.7922,24.6367,8.0777,3.6056,12.0507,871.846,0.0,69.1231,-39.5,81.4309,118.9,12.7732
30,1.193,Forehand,1,forward_swing,40.5216,40.5216,-0.2706,0.0,-8.0777,79.0882,,0.0,122.9309,-44.0,116.5651,124.5,16.8081
31,1.233,Forehand,1,forward_swing,40.5216,27.1662,-13.3554,0.0,0.0,67.2206,,0.0,170.845,-42.0,128.9725,124.1,17.817
32,1.273,Forehand,1,backswing,27.1662,25.0799,-2.0863,0.0,0.0,64.1269,,0.0,220.0477,-45.0,168.2614,123.3,17.6326
33,1.313,Forehand,1,backswing,25.0799,5.0,-20.0799,0.0,0.0,61.612,,0.0,250.6352,-50.5,173.2526,117.2,13.1449
34,1.352,Forehand,1,ready,8.0623,8.0623,3.0623,0.0,0.0,52.875,,0.0,277.7949,-55.0,174.0615,110.3,7.9435
35,1.392,Forehand,1,ready,8.0623,14.0,5.9377,0.0,0.0,48.9477,,0.0,295.6011,-57.5,163.5025,108.1,6.0271
36,1.432,Forehand,1,follow_through,14.0,40.0125,26.0125,0.0,0.0,40.7492,,0.0,288.6001,-57.5,152.5086,97.4,2.6661
37,1.472,Forehand,1,forward_swing,40.0125,40.1995,0.187,0.0,0.0,33.2214,,0.0,282.45,-61.0,131.2954,90.7,6.6547
38,1.512,Forehand,1,forward_swing,40.1995,40.2616,0.0621,0.0,0.0,30.412,,0.0,279.7284,-73.5,33.6901,86.7,8.906
39,1.551,Forehand,1,forward_swing,40.2616,40.3113,0.0496,0.0,0.0,21.6793,,0.0,283.4237,-93.5,55.8403,84.1,9.1453
40,1.591,Forehand,1,contact_candidate,40.3113,40.7063,0.395,0.0,0.0,16.7418,105.6818,0.4129,291.988,-118.0,95.2905,82.8,9.7817
41,1.631,Forehand,1,contact_candidate,40.7063,40.7185,0.0123,23.3452,23.3452,12.258,78.9247,0.5615,303.2787,-141.5,132.4074,81.7,9.4845
42,1.671,Forehand,1,forward_swing,40.7063,14.4222,-26.2963,0.0,-23.3452,35.1869,,0.0,289.8362,-138.5,145.2162,81.7,9.4845
43,1.71,Forehand,1,forward_swing,34.9285,34.9285,20.5063,0.0,0.0,107.6127,257.4723,0.0,251.0717,-112.0,155.04,82.1,9.7508
44,1.75,Forehand,1,forward_swing,34.9285,40.8044,5.8759,0.0,0.0,151.5241,,0.0,215.9282,-81.0,130.7042,81.1,10.1397
45,1.79,Backhand,1,forward_swing,40.3609,40.3609,-0.4435,0.0,0.0,211.5891,,0.0,190.4127,-52.5,114.2744,83.2,8.731
46,1.83,Backhand,1,forward_swing,40.6079,40.6079,0.247,0.0,0.0,305.2122,,0.0,170.3907,-22.5,85.9737,84.3,7.5729
47,1.87,Backhand,1,forward_swing,40.6079,40.6079,0.0,0.0,0.0,0.0,,0.0,159.7905,6.0,56.4235,85.4,7.1391
48,1.909,Backhand,1,forward_swing,40.6079,40.4599,-0.148,0.0,0.0,0.0,,0.0,150.0,34.5,11.0564,87.1,5.4938
49,1.949,Backhand,1,forward_swing,40.4599,40.3609,-0.099,0.0,0.0,0.0,,0.0,147.6279,63.5,123.1465,88.0,3.9963
50,1.989,Backhand,1,forward_swing,40.3609,38.2099,-2.1509,0.0,0.0,0.0,,0.0,154.5736,90.5,129.8056,90.0,1.3972
51,2.029,Backhand,1,forward_swing,38.2099,15.5563,-22.6536,0.0,0.0,0.0,,0.0,154.2077,101.0,130.8835,92.3,1.587
52,2.068,Backhand,1,follow_through,15.5563,4.1231,-11.4332,0.0,0.0,0.0,,0.0,146.0137,105.0,132.438,95.2,4.4202
53,2.108,Backhand,1,ready,7.0,7.0,2.8769,0.0,0.0,0.0,,0.0,135.0037,105.0,130.8364,97.4,6.5567
54,2.148,Backhand,1,ready,7.0,11.1803,4.1803,0.0,0.0,0.0,,0.0,122.1024,107.5,137.6467,97.7,6.9149
55,2.188,Backhand,1,follow_through,11.1803,14.8661,3.6857,0.0,0.0,0.0,,0.0,108.5587,112.0,144.9262,96.4,6.4416
56,2.228,Backhand,1,follow_through,14.8661,16.2788,1.4128,0.0,0.0,0.0,,0.0,97.4936,113.0,143.7614,95.4,5.3558
57,2.267,Backhand,1,follow_through,16.2788,20.2237,3.9449,3.1623,3.1623,0.0,,0.0,82.28,112.5,146.0832,91.5,2.3017
58,2.307,Backhand,1,follow_through,16.2788,0.0,-20.2237,0.0,-3.1623,0.0,,0.0,82.28,112.5,146.0832,91.5,1.5275
59,2.347,Two-Handed Backhand,1,backswing,20.2237,40.7185,40.7185,0.0,0.0,0.0,,0.0,48.2701,97.0,141.4212,89.3,0.0876
60,2.387,Two-Handed Backhand,1,forward_swing,37.7359,37.7359,-2.9826,0.0,0.0,0.0,,0.0,26.0768,79.5,126.0342,86.2,1.5411
61,2.426,Two-Handed Backhand,1,forward_swing,37.7359,33.2866,-4.4493,17.5855,17.5855,0.0,,0.0,12.53,65.0,108.4929,83.9,2.4047
62,2.466,Two-Handed Backhand,1,forward_swing,33.9706,33.9706,0.6839,5.8523,-11.7332,0.0,,0.0,28.2312,48.5,97.3276,81.8,3.8695
63,2.506,Two-Handed Backhand,1,forward_swing,33.2866,29.0689,-4.9017,14.6373,8.7849,0.0,,0.0,47.5079,32.5,91.4562,81.7,3.465
64,2.546,Backhand,1,backswing,29.0689,28.3019,-0.7669,19.4487,4.8114,0.0,,0.0,67.082,14.5,90.42,81.1,3.5501
65,2.586,Backhand,1,backswing,29.0689,28.7924,0.4904,49.4217,29.973,0.0,,0.0,87.6641,-8.0,91.5641,81.2,3.7408
66,2.625,Backhand,1,backswing,28.3019,23.0868,-5.7056,25.632,-23.7896,0.0,,0.0,100.0,-26.5,92.6775,81.2,3.3121
67,2.665,Backhand,1,forward_swing,35.5004,16.7631,-6.3237,47.3339,21.7019,0.0,,0.0,109.6358,-39.0,93.2465,82.0,3.29
68,2.705,Backhand,1,backswing,23.0868,16.2788,-0.4842,17.3566,-29.9774,0.0,,0.0,118.0678,-52.0,95.5321,83.5,2.4386
69,2.745,Backhand,1,backswing,23.2983,10.7703,-5.5085,31.0644,13.7079,0.0,,0.0,122.4827,-60.0,97.5752,85.4,1.79
70,2.784,Backhand,1,follow_through,16.2788,8.6023,-2.168,15.6205,-15.4439,0.0,,0.0,124.904,-65.5,99.2753,86.7,1.6256
71,2.824,Backhand,1,follow_through,11.7154,6.4031,-2.1992,9.5,-6.1205,0.0,,0.0,125.6742,-69.0,99.861,87.6,0.7672
72,2.864,Forehand,1,ready,7.125,4.4721,-1.931,5.0249,-4.4751,0.0,,0.0,125.5747,-71.0,100.9019,87.6,0.1955
73,2.904,Forehand,1,ready,6.7604,2.0,-2.4721,9.0139,3.9889,0.0,,0.0,125.3994,-74.5,100.9619,88.4,0.0597
