frame_id,event_id,event_type,milestone,motion_phase,model_raw_label,raw_label_conflict,is_peak_frame,is_contact_frame,event_start_frame,event_end_frame,peak_frame,contact_frame,bounce_frame,shot_direction,motion_energy,raw_swing_type,wrist_speed,racket_speed,ball_racket_distance,contact_score,event_contact_confidence,racket_lag_at_contact,two_hand_distance
0,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,0.0,Forehand,0.0,0.0,,0.0,,,125.004
1,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,4.6987,Forehand,2.2361,6.265,,0.0,,,122.0656
2,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,4.0562,Forehand,2.0,5.4083,,0.0,,,121.2642
3,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,4.0562,Forehand,2.0,2.9155,,0.0,,,121.499
4,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,4.0562,Forehand,2.2361,6.0828,,0.0,,,122.8007
5,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,4.1231,Forehand,4.1231,1.118,,0.0,,,122.3315
6,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,4.5621,Forehand,5.0,0.0,,0.0,,,126.2894
7,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,5.0,Forehand,8.2462,0.0,,0.0,,,128.8914
8,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,8.2462,Forehand,10.7703,0.0,,0.0,,,131.0267
9,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,10.7703,Forehand,14.5602,0.0,,0.0,,,133.9291
10,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,14.5602,Forehand,15.8114,0.0,,0.0,,,132.5179
11,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,15.8114,Forehand,16.2788,0.0,,0.0,,,123.065
12,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,16.2788,Forehand,16.4924,0.0,,0.0,,,109.2749
13,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,16.2788,Forehand,12.3693,0.0,,0.0,,,96.2549
